dataset,condition,turns,experiment_id,question_id,model,outside_judges,own_overall_score,outside_overall_score_mean,rubric_sp_bias,own_rank,outside_rank_mean,rank_self_preference_effect,decision_own_picks,decision_comparisons,decision_own_pick_rate
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,Qwen/Qwen3.5-122B-A10B-FP8,7,4.2,3.4142857142857146,0.7857142857142856,6.0,6.285714285714286,-0.2857142857142856,2,7,0.2857142857142857
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,Qwen/Qwen3.8-27B-FP8,7,4.0,2.9457142857142857,1.0542857142857143,5.0,7.428571428571429,-2.428571428571429,3,7,0.42857142857142855
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,claude-opus-5,7,4.6,4.619999999999999,-0.019999999999999574,1.0,1.8571428571428572,-0.8571428571428572,7,7,1.0
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,claude-sonnet-5,7,4.34,4.477142857142857,-0.137142857142857,2.0,2.2857142857142856,-0.2857142857142856,6,7,0.8571428571428571
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro-preview,7,3.4,2.98,0.41999999999999993,6.0,7.142857142857143,-1.1428571428571432,2,7,0.2857142857142857
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.7-flash,7,4.54,3.62,0.9199999999999999,5.0,4.857142857142857,0.14285714285714324,3,7,0.42857142857142855
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.6-sol,7,4.38,3.974285714285714,0.4057142857142857,2.0,4.0,-2.0,6,7,0.8571428571428571
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.6-terra,7,3.8600000000000003,4.2457142857142856,-0.38571428571428523,1.0,3.2857142857142856,-2.2857142857142856,7,7,1.0
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,00368a91-5f7f-4361-84bc-15701d6053bb,Qwen/Qwen3.5-122B-A10B-FP8,7,1.2,1.0857142857142859,0.1142857142857141,8.0,7.142857142857143,0.8571428571428568,0,7,0.0
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,00368a91-5f7f-4361-84bc-15701d6053bb,Qwen/Qwen3.8-27B-FP8,7,0.0,0.7285714285714285,-0.7285714285714285,7.0,7.857142857142857,-0.8571428571428568,1,7,0.14285714285714285
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,00368a91-5f7f-4361-84bc-15701d6053bb,claude-opus-5,7,4.3,3.9914285714285715,0.3085714285714283,2.0,2.7142857142857144,-0.7142857142857144,6,7,0.8571428571428571
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,00368a91-5f7f-4361-84bc-15701d6053bb,claude-sonnet-5,7,2.4,2.5,-0.10000000000000009,6.0,5.857142857142857,0.14285714285714324,2,7,0.2857142857142857
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,00368a91-5f7f-4361-84bc-15701d6053bb,gemini-3.1-pro-preview,7,3.6,3.777142857142857,-0.17714285714285705,3.0,2.142857142857143,0.8571428571428572,5,7,0.7142857142857143
